id,prenom,id_espece,id_parent,date_naissance,date_mort,lieu_naissance
1,Onalitram,543,,0.920750046296448,44.45405672538055,493
2,Jarendsume,543,,1.1986145661186831,40.067014614215914,136
3,Pascamro,78,,1.3526148963017182,31.205986895669724,593
4,Shyanvarn,602,,1.3536092447856363,20.57565463036636,183
5,Haryal,617,,1.4001469281028078,35.92172556873161,565
6,Drucarryerry,397,,1.4595499107847854,44.33719683251685,415
7,Chartararry,448,,2.021182003176847,32.453119601003145,135
8,Isteadayn,344,,2.0409392013636785,24.32086299631134,350
9,Uldaurstead,499,,2.06538445378861,41.95521787597848,383
10,Pesuntuny,572,,2.1515834981377213,30.27714572971843,20
11,Kigarla,189,,2.4754828145736596,29.137891585466647,82
12,Obrcaradcarth,74,,2.597784786989754,34.216580644969234,563
13,Quarneascis,412,,3.0193328268216857,37.30032229199002,400
14,Jaralleront,532,,3.0467331144733656,21.768465798922872,601
15,Kiseneer,493,,3.0506082744370056,42.59550622526514,490
16,Dezaxjuin,586,,3.135192079709259,32.072543417007005,16
17,Cadibaen,530,,3.2184788108532425,44.19564979974896,549
18,Jastiamsene,500,,3.388428044867098,38.04081200758287,206
19,Adrawyr,594,,3.469694999325823,35.77626531093645,227
20,Afucred,576,,3.9404445871388583,34.355670602765265,401
21,Elau,245,,4.031709797527395,27.674861791146174,504
22,Tarllaarth,147,,4.105346919494157,23.038263937658943,392
23,Bintheidern,570,,4.2181144368116925,48.052200011559364,420
24,Tyroarny,502,,4.222628843599585,28.487558680614036,137
25,Dafarthan,140,,4.27956934230086,41.004952391874355,191
26,Ranidd,180,,4.32021530166894,18.15229954268834,349
27,Tralaryneayne,214,,4.472186148496327,31.223085997265986,347
28,Erareg,101,,5.2585115746699,50.01719357185911,393
29,Aldtanyn,352,,5.274565361436478,41.629744922225214,69
30,Adrilinnon,564,,5.359955828472252,23.1764168184625,484
31,Scaunquentan,182,,5.7649881952131725,24.105528542095016,584
32,Tarlornain,148,,5.820603325203145,26.420712046154154,530
33,Elleneun,510,,5.851373513186065,30.662110011293546,9
34,Gravecheanaver,552,,6.132976520218058,45.77328213852761,588
35,Adwiewin,197,,6.340968031062366,38.57135749111877,389
36,Wearnastarter,617,5.0,6.562614919727837,32.69378727348117,187
37,Geldaingar,71,,6.646178488311927,47.149838540562875,528
38,Acirewyn,440,,6.789721357336187,38.23589886070791,17
39,Ybauch,351,,7.055686819465179,43.01569560930524,4
40,Ruskdardoth,484,,7.358182837869142,49.499044055847456,429
41,Septunyarik,514,,7.629974674631024,35.33941853076493,242
42,Norerasty,419,,8.467389105162193,52.256125979799926,247
43,Habantun,18,,8.799264561463104,38.69007536648092,207
44,Harancar,40,,8.833634445096095,34.1074130812143,511
45,Kolerian,168,,9.426950366598108,34.50605322698883,219
46,Jarertaver,84,,9.550286523910279,42.6149529437727,225
47,Lorcarthbin,250,,9.846978994379896,49.45065217791722,175
48,Afiramos,602,4.0,9.89631462360618,48.501728315673965,394
49,Panaar,64,,9.909564467139331,30.496377668946174,380
50,Haurarynnyd,553,,10.05952837708033,38.33984557319217,402
51,Walcathwar,554,,10.384636442442186,40.994140622433434,504
52,Cracydda,493,15.0,10.699450185595111,47.73676443648091,30
53,Frerraldric,70,,10.870796513777513,54.279157367761925,148
54,Cracarikyn,586,16.0,10.87476132976832,29.59407064990468,497
55,Urartern,344,,10.977429310426034,50.79234127835616,425
56,Corastaryn,212,,11.046534062852897,39.50023053553115,536
57,Estlain,69,,11.127618863060619,32.79444964522746,135
58,Lasastyne,28,,11.132317425092753,49.9188819443259,505
59,Kirunair,252,,11.157815021731043,37.291171414878505,180
60,Flargaryaryne,352,,11.179255088550255,50.83412961063399,178
61,Margaynyd,191,,11.25026965149749,34.717105770531354,216
62,Calascera,67,,11.303633868595785,37.28927754399672,582
63,Harontro,215,,11.420615546782564,36.44818384444136,199
64,Haarryew,564,30.0,11.441058141880154,35.303675624644534,243
65,Ethiraw,59,,11.443741598862312,27.52215238372238,564
66,Hasenein,606,,11.467415161199558,36.64762264719265,214
67,Marrathrik,71,,11.817080539268233,47.961937544088215,203
68,Artmelyne,594,19.0,11.965261147178346,37.63354669396701,485
69,Ercarert,344,8.0,12.065825103530603,46.83842979841765,445
70,Kuvalenaldy,510,33.0,12.200180221517854,38.87221397612478,535
71,Walleneain,448,7.0,12.20497561180604,49.01761631384349,401
72,Vabsenealen,154,,12.269927403505154,40.972889735669284,347
73,Hargarrygayn,71,37.0,12.326603756452041,54.87040538669986,101
74,Wyakant,494,,12.35200227200216,38.09995878983759,40
75,Kig,412,13.0,12.455832134839689,40.77438409970849,122
76,Lasynstead,506,,12.541954896224238,51.39788009928847,581
77,Rolcarnnal,74,12.0,12.640112438866856,44.01749867847028,160
78,Moldamegeth,78,3.0,12.675230232853261,44.64151203874901,552
79,Pasarnyar,589,,12.752608135234167,41.1889733118042,551
80,Baiennyd,148,32.0,12.817192883683642,35.35554049630228,397
81,Ocerigord,396,,13.209479380222211,46.18201434109428,196
82,Etholleron,424,,13.34479885880281,56.60277170461502,22
83,Aelynedal,194,,13.422859786860597,40.10461134016562,5
84,Sarcuthsene,178,,13.631908680911732,34.9281043443139,138
85,Ralderaont,190,,13.657183482889046,40.20028043888681,15
86,Haraurdor,493,15.0,13.980565629643623,47.84485477680772,13
87,Treadan,59,,14.054536672563733,40.7784650845556,544
88,Chiesidil,498,,14.289243406958363,42.815584249826856,344
89,Baevalerer,24,,14.577750652804799,50.84512711917853,444
90,Afauldan,18,43.0,14.640740952999092,49.10667769945347,230
91,Perarnetyn,197,,14.749415625160578,33.56405275493562,615
92,Raldjuina,23,,14.855682705560048,38.511802830265765,515
93,Jesgaynwar,564,30.0,14.861014786153182,53.44743818295127,442
94,Vastmelmel,484,40.0,14.977586237855501,40.26191534523802,435
95,Labannyd,586,16.0,15.543216252916304,34.722875583163905,195
96,Zaldainere,65,,15.544985525543332,38.33005298369254,519
97,Formelarth,532,14.0,15.596106739148848,31.946188256890608,13
98,Cholath,71,37.0,15.706930740091167,35.44788023989339,381
99,Teszanero,140,25.0,15.78114537472996,53.47111845440166,25
100,Oberun,491,,16.13465442366554,59.64692439602453,554
101,Acaledfrid,419,42.0,16.230115342343403,45.20444731588569,415
102,Coralenfyn,64,49.0,16.315865463882545,54.98757286335404,550
103,Tarloryd,411,,16.323021233961686,56.657999163370576,605
104,Hargethwarne,136,,16.331894506492183,47.416061862612835,191
105,Biralin,380,,16.371668802636496,39.87902824655939,520
106,Abaowyn,490,,16.38470329027708,40.06774264171176,426
107,Varynarry,78,3.0,16.45650282972626,43.87305012284903,7
108,Tarlarla,148,32.0,16.58976137534258,50.22333017108964,169
109,Napcoddir,489,,16.638677815959714,51.482562861025286,533
110,Haitharnytyn,189,11.0,16.67349499053715,55.10444461255067,575
111,Baycoddar,433,,16.683899447736206,42.667746230134625,506
112,Erhenro,516,,16.768023000725098,42.85519293519002,170
113,Terwatarne,572,10.0,16.769690466666393,58.71029010516892,213
114,Darastardal,602,48.0,16.961802871494235,54.03357310871446,420
115,Ibeliw,434,,16.989461929584635,45.49907506485488,382
116,Melrolir,181,,17.0151240175477,43.00276094289626,224
117,Molddya,121,,17.104984311454896,37.39955538188093,549
118,Nautendis,189,,17.119741421378087,39.81836185102648,234
119,Gravealdyew,554,51.0,17.19473897077561,42.956598599105064,71
120,Harquineras,436,,17.380632417259623,47.43621671992294,564
121,Tercamlene,237,,17.469881824918552,44.619783060284945,244
122,Kilwatfyn,214,27.0,17.55693945282579,47.55504376949052,571
123,Geldtinyn,433,,17.72946732162022,56.2839475717916,63
124,Halsumeter,197,35.0,17.760447303892217,46.62683516592958,220
125,Shotgurbin,245,,17.92669243531676,58.52726702386246,85
126,Crareder,67,62.0,17.980264714021864,48.4570998410625,547
127,Korerryarne,81,,18.101109041036977,48.04351092419782,405
128,Hobontgant,586,,18.20114061075355,62.213152652027674,556
129,Barelaver,505,,18.204843024077732,62.80430856736259,40
130,Skalcararny,147,22.0,18.206621955848796,45.55207237939595,572
131,Harilbin,101,,18.396720571079108,41.87519288527056,8
132,Verdrocath,76,,18.447789593703632,59.02094410618506,18
133,Forlirydd,430,,18.58410860147295,53.96254833356758,345
134,Obrathan,25,,18.58532929276008,38.526567691714405,401
135,Scaunaztuny,564,30.0,18.759413346593334,55.389858174474,618
136,Verderaver,532,14.0,18.81434235318049,45.76908762368558,70
137,Arnalyne,77,,18.950341310513174,55.28078595199417,576
138,Zolaynir,247,,18.954148467550482,62.68825372991387,515
139,Scaunanro,444,,18.971155828096762,50.78958432340002,424
